"city","state","comercio","industria","servicos","agro","construcao"
"ABAETETUBA","PA","3","0","0","0","0"
"ABELARDO LUZ","SC","0","0","2","0","0"
"ACAILANDIA","MA","1","1","0","0","0"
"ACREUNA","GO","1","0","1","0","0"
"ADAMANTINA","SP","1","0","1","0","0"
"AGRESTINA","PE","0","1","0","0","0"
"AGUA AZUL DO NORTE","PA","0","0","0","0","1"
"AGUA BRANCA","AL","1","0","0","0","0"
"AGUAS LINDAS DE GOIAS","GO","2","0","1","0","0"
"ALAGOINHAS","BA","2","0","3","0","0"
"ALEM PARAIBA","MG","1","0","0","0","0"
"ALFENAS","MG","1","0","0","0","3"
"ALFREDO CHAVES","ES","1","0","2","0","0"
"ALMENARA","MG","0","0","3","0","0"
"ALMIRANTE TAMANDARE","PR","2","0","1","0","0"
"ALPINOPOLIS","MG","1","0","0","0","0"
"ALTA FLORESTA","MT","0","0","1","0","0"
"ALTEROSA","MG","1","0","0","0","0"
"ALTO ALEGRE DO PINDARE","MA","0","0","1","0","0"
"ALTO ARAGUAIA","MT","1","0","0","0","0"
"ALTO HORIZONTE","GO","1","0","0","0","0"
"ALTO LONGA","PI","1","0","0","0","0"
"ALVARES FLORENCE","SP","2","0","0","0","0"
"ALVORADA","RS","3","2","1","0","0"
"ALVORADA DO SUL","PR","1","0","0","0","0"
"AMAMBAI","MS","0","0","1","0","0"
"AMAPA","AP","1","0","0","0","0"
"AMARGOSA","BA","1","0","0","0","0"
"AMELIA RODRIGUES","BA","0","0","1","0","0"
"AMERICANA","SP","7","2","6","0","0"
"AMERICO BRASILIENSE","SP","0","0","1","0","0"
"AMONTADA","CE","0","0","1","0","0"
"AMPARO","SP","2","1","2","0","0"
"ANAGE","BA","0","0","1","0","0"
"ANANINDEUA","PA","18","4","7","0","1"
"ANAPOLIS","GO","5","0","2","0","0"
"ANAPU","PA","2","0","0","0","0"
"ANDARAI","BA","1","0","0","0","0"
"ANDRADINA","SP","0","0","1","0","0"
"ANGATUBA","SP","6","0","0","0","0"
"ANGICOS","RN","1","0","0","0","0"
"ANGRA DOS REIS","RJ","2","0","0","0","0"
"ANORI","AM","1","0","0","0","0"
"APARECIDA DE GOIANIA","GO","9","1","11","0","0"
"APARECIDA DO RIO DOCE","GO","1","0","0","0","0"
"APERIBE","RJ","0","1","0","0","0"
"APODI","RN","0","1","0","0","0"
"APUCARANA","PR","0","1","1","0","0"
"APUI","AM","1","0","0","0","0"
"AQUIDAUANA","MS","1","0","0","0","0"
"AQUIRAZ","CE","0","0","0","0","1"
"ARACAJU","SE","5","0","8","0","3"
"ARACATU","BA","1","0","0","0","0"
"ARACATUBA","SP","8","0","0","0","0"
"ARACOIABA DA SERRA","SP","2","0","0","0","0"
"ARACRUZ","ES","1","0","0","0","0"
"ARAGARCAS","GO","1","0","0","0","0"
"ARAGUAINA","TO","3","0","3","0","0"
"ARAGUARI","MG","0","0","2","0","0"
"ARAMARI","BA","0","0","1","0","0"
"ARAPIRACA","AL","0","0","1","0","0"
"ARAPONGAS","PR","1","1","2","0","0"
"ARAQUARI","SC","0","0","1","0","0"
"ARARANGUA","SC","2","0","0","0","1"
"ARARAQUARA","SP","7","0","1","0","1"
"ARARAS","SP","4","0","0","0","0"
"ARARI","MA","1","0","0","0","0"
"ARARIPINA","PE","1","0","0","0","0"
"ARARUAMA","RJ","2","0","1","0","0"
"ARAUCARIA","PR","2","0","3","0","1"
"ARAXA","MG","1","0","2","0","0"
"ARCOS","MG","1","0","0","0","0"
"ARCOVERDE","PE","1","0","1","0","0"
"ARIPUANA","MT","2","0","0","0","0"
"ARMACAO DOS BUZIOS","RJ","2","0","3","0","0"
"AROEIRAS","PB","0","0","3","0","0"
"ARRAIAL DO CABO","RJ","0","0","1","0","0"
"ARROIO DO MEIO","RS","1","0","0","0","0"
"ARTUR NOGUEIRA","SP","3","0","0","0","0"
"ARUJA","SP","1","0","2","0","1"
"ASSIS","SP","2","0","2","0","0"
"ASTOLFO DUTRA","MG","1","0","0","0","0"
"ATIBAIA","SP","5","1","1","0","0"
"AUGUSTO PESTANA","RS","0","0","2","0","0"
