GRANDE_REG,COD_UF,SIGLA_UF,COD,NOME,TIPO,COD_CAT_ASSOC,CAT_ASSOC,COD_MUN,NOME_MUN,LEG,DATA
Centro-Oeste,53,DF,5301,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,530101,NÃO TEM,5300108,BRASÍLIA,DECRETO Nº 7469 - 04.05.2011 Regulamenta a Lei Complementar  094,19/02/98
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5200100,ABADIÂNIA,DECRETO Nº 7469 - 04.05.2011 Regulamenta a Lei Complementar  094,19/02/98
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5200175,ÁGUA FRIA DE GOIÁS,DECRETO Nº 7469 - 04.05.2011 Regulamenta a Lei Complementar  094,19/02/98
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5200258,ÁGUAS LINDAS DE GOIÁS,DECRETO Nº 7469 - 04.05.2011 Regulamenta a Lei Complementar  094,19/02/98
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5200308,ALEXÂNIA,DECRETO Nº 7469 - 04.05.2011 Regulamenta a Lei Complementar  094,19/02/98
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5200605,ALTO PARAÍSO DE GOIÁS,Lei Complementar nº 163 (Federal),14/06/18
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5200803,ALVORADA DO NORTE,Lei Complementar nº 163 (Federal),14/06/18
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5203203,BARRO ALTO,Lei Complementar nº 163 (Federal),14/06/18
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5204003,CABECEIRAS,DECRETO Nº 7469 - 04.05.2011 Regulamenta a Lei Complementar  094,19/02/98
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5205307,CAVALCANTE,Lei Complementar nº 163 (Federal),14/06/18
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5205497,CIDADE OCIDENTAL,DECRETO Nº 7469 - 04.05.2011 Regulamenta a Lei Complementar  094,19/02/98
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5205513,COCALZINHO DE GOIÁS,DECRETO Nº 7469 - 04.05.2011 Regulamenta a Lei Complementar  094,19/02/98
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5205802,CORUMBÁ DE GOIÁS,DECRETO Nº 7469 - 04.05.2011 Regulamenta a Lei Complementar  094,19/02/98
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5206206,CRISTALINA,DECRETO Nº 7469 - 04.05.2011 Regulamenta a Lei Complementar  094,19/02/98
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5207907,FLORES DE GOIÁS,Lei Complementar nº 163 (Federal),14/06/18
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5208004,FORMOSA,DECRETO Nº 7469 - 04.05.2011 Regulamenta a Lei Complementar  094,19/02/98
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5208608,GOIANÉSIA,Lei Complementar nº 163 (Federal),14/06/18
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5212501,LUZIÂNIA,DECRETO Nº 7469 - 04.05.2011 Regulamenta a Lei Complementar  094,19/02/98
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5213053,MIMOSO DE GOIÁS,DECRETO Nº 7469 - 04.05.2011 Regulamenta a Lei Complementar  094,19/02/98
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5214606,NIQUELÂNDIA,Lei Complementar nº 163 (Federal),14/06/18
Centro-Oeste,52,GO,5202,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,RIDE,520201,NÃO TEM,5215231,NOVO GAMA,DECRETO Nº 7469 - 04.05.2011 Regulamenta a Lei Complementar  094,19/02/98
