name,Population[D][14],mi2,km2
AL,"4,903,185","52,420","135,767"
AK,"731,545","665,384","1,723,337"
AZ,"7,278,717","113,990","295,234"
AR,"3,017,804","53,179","137,732"
CA,"39,512,223","163,695","423,967"
CO,"5,758,736","104,094","269,601"
CT,"3,565,278","5,543","14,357"
DE,"973,764","2,489","6,446"
FL,"21,477,737","65,758","170,312"
GA,"10,617,423","59,425","153,910"
HI,"1,415,872","10,932","28,313"
ID,"1,787,065","83,569","216,443"
IL,"12,671,821","57,914","149,995"
IN,"6,732,219","36,420","94,326"
IA,"3,155,070","56,273","145,746"
KS,"2,913,314","82,278","213,100"
KY,"4,467,673","40,408","104,656"
LA,"4,648,794","52,378","135,659"
ME,"1,344,212","35,380","91,633"
MD,"6,045,680","12,406","32,131"
MA,"6,892,503","10,554","27,336"
MI,"9,986,857","96,714","250,487"
MN,"5,639,632","86,936","225,163"
MS,"2,976,149","48,432","125,438"
MO,"6,137,428","69,707","180,540"
MT,"1,068,778","147,040","380,831"
NE,"1,934,408","77,348","200,330"
NV,"3,080,156","110,572","286,380"
NH,"1,359,711","9,349","24,214"
NJ,"8,882,190","8,723","22,591"
NM,"2,096,829","121,590","314,917"
NY,"19,453,561","54,555","141,297"
NC,"10,488,084","53,819","139,391"
ND,"762,062","70,698","183,108"
OH,"11,689,100","44,826","116,098"
OK,"3,956,971","69,899","181,037"
OR,"4,217,737","98,379","254,799"
PA,"12,801,989","46,054","119,280"
RI,"1,059,361","1,545","4,001"
SC,"5,148,714","32,020","82,933"
SD,"884,659","77,116","199,729"
TN,"6,829,174","42,144","109,153"
TX,"28,995,881","268,596","695,662"
UT,"3,205,958","84,897","219,882"
VT,"623,989","9,616","24,906"
VA,"8,535,519","42,775","110,787"
WA,"7,614,893","71,298","184,661"
WV,"1,792,147","24,230","62,756"
WI,"5,822,434","65,496","169,635"
WY,"578,759","97,813","253,335"
